#Time T_Paint_left T_Paint_right T_Tape_left T_Tape_right P_Paint_left P_Paint_right P_Tape_left P_Tape_right
#time Celsius Celsius Celsius Celsius Watt_per_sq_metre Watt_per_sq_metre Watt_per_sq_metre Watt_per_sq_metre

1619 11.60 11.61 11.81 11.89 95.44 95.46 95.73 96.04
1637 -9.29 -9.07 -8.58 -7.94 62.67 62.98 63.69 64.39
1643 -13.71 -13.46 -12.82 -12.18 56.71 57.09 57.92 58.53
1650 -17.13 -16.92 -16.22 -15.47 52.41 52.72 53.63 54.41
1655 -19.80 -19.67 -18.76 -17.98 49.26 49.41 50.53 51.36
1701 -21.70 -21.98 -20.43 -19.70 47.16 46.88 48.65 49.28
1709 -22.83 -23.52 -21.20 -20.76 45.92 45.10 47.69 48.26
1725 -23.51 -24.63 -21.76 -21.61 45.20 43.99 47.20 47.35
1822 -27.17 -27.88 -25.21 -25.14 41.27 40.64 43.54 43.32

