#Time T_amb V_left V_right I_left I_right humidity T_chill PT100_Paint_left PT100_Paint_right PT100_Tape_left PT100_Tape_right
#time Celsius Volt Volt Ampere Ampere relative Celsius Celsius Celsius Celsius Celsius

1542 23.6 0.00 0.00 0.00 0.00 9.0 8.0 0 11.9769 12.3688 11.9985
1556 22.8 1.52 1.52 0.50 0.50 8.0 8.0 0 1.8739 2.3726 1.8407
1607 22.3 3.00 3.00 1.00 1.00 8.0 8.0 0 -5.5302 -4.8813 -5.5805
1619 21.9 4.42 4.39 1.50 1.50 7.0 8.0 0 -11.4433 -10.7208 -11.5417
1633 21.5 5.11 5.08 1.75 1.75 7.0 8.0 0 -14.0083 -13.2256 -14.0938
1648 21.2 5.80 5.76 2.00 2.00 7.0 8.0 0 -16.0629 -15.3866 -16.2136
1657 21.1 6.48 6.42 2.25 2.25 6.0 8.0 0 -18.0824 -17.4393 -18.2468
1713 21.0 7.14 7.09 2.50 2.50 6.0 8.0 0 -19.9295 -19.1696 -20.0912
1724 21.0 7.81 7.74 2.75 2.75 6.0 8.0 0 -21.4188 -20.6738 -21.5813
1732 20.9 8.49 8.42 3.00 3.00 6.0 8.0 0 -22.3858 -21.5919 -22.5227
