#time TL TR PL PR P_TL P_TR P_PL P_PR
1542 12.23 11.82 11.88 11.67 104.83 103.87 104.01 103.52
1556 2.16 1.55 1.50 1.23 83.20 82.01 81.91 81.38
1607 -5.17 -6.07 -6.19 -6.54 69.57 68.01 67.80 67.20
1619 -11.05 -12.05 -12.29 -12.74 59.83 58.28 57.91 57.22
1633 -13.71 -14.80 -15.11 -15.61 55.76 54.15 53.69 52.98
1648 -15.74 -16.89 -17.35 -17.78 52.79 51.16 50.51 49.93
1657 -17.78 -18.88 -19.50 -19.87 49.93 48.44 47.60 47.11
1713 -19.54 -20.78 -21.33 -21.74 47.55 45.92 45.20 44.69
1724 -20.97 -22.18 -22.86 -23.32 45.68 44.13 43.29 42.72
1732 -21.85 -23.30 -23.91 -24.47 44.55 42.75 41.99 41.32
