#Time TempTL TempTR TempPL TempPR PowerTL TempTR TempPL TempPR
#time Celsius Celsius Celsius Celsius Wperm2 Wperm2 Wperm2 Wperm2
1542 12.85 12.46 12.52 12.32 125.35 124.20 124.37 123.78
1556 3.36 2.80 2.75 2.50 99.55 98.15 98.04 97.41
1607 -3.46 -4.29 -4.40 -4.72 83.51 81.70 81.46 80.76
1619 -8.89 -9.80 -10.02 -10.43 72.16 70.37 69.94 69.15
1633 -11.35 -12.33 -12.62 -13.07 67.40 65.55 65.02 64.20
1648 -13.21 -14.25 -14.67 -15.05 63.94 62.07 61.34 60.67
1657 -15.06 -16.05 -16.61 -16.94 60.64 58.94 57.98 57.42
1713 -16.65 -17.76 -18.26 -18.62 57.91 56.06 55.24 54.66
1724 -17.93 -19.01 -19.61 -20.02 55.78 54.02 53.07 52.42
1732 -18.73 -20.01 -20.56 -21.05 54.48 52.44 51.58 50.82
