#ID T_min
L1 -4.19
L2 -5.67
L3 -4.82
L4 -4.93
L5 -3.83
L6 -3.95
L7 -4.61
L8 -4.44
L9 -4.34
L10 -4.41
L11 -4.57
L12 -4.68
L13 -2.92
L14 -4.47
L15 -4.74
L16 -3.38
L17 -5.36
L18 -5.21
L19 -4.85
L20 -5.55
L21 -4.91
L22 -3.53
L23 -5.78
L24 -6.64
L25 -6.24
L26 -5.94
L27 -6.02
L28 -5.87
L29 -3.12
L30 -3.58
L31 -4.40
L32 -6.65
L33 -7.06
L34 -6.86
L35 -6.20
L36 -7.21
L37 -6.54
L38 -4.57
L39 -8.36
L40 -7.87
L41 -4.58
L42 -5.71
L43 -6.39
L44 -6.29
L45 -5.72
L46 -5.09
L47 -4.14
L48 -5.26
L49 -6.37
L50 -5.75

