#ID T_min
L1 8.57
L2 8.31
L3 7.68
L4 6.95
L5 6.07
L6 5.56
L7 4.99
L8 3.82
L9 2.54
L10 1.91
L11 1.22
L12 0.33
L13 -0.13
L14 -0.84
L15 -1.14
L16 -0.88
L17 -1.29
L18 6.16 
L19 3.98 
L20 2.34 
L21 3.62 
L22 -3.69
L23 -4.09
L24 -4.17
L25 -4.24
L30 -3.66
L26 0.07 
L27 0.90 
L28 -2.60
L29 -2.94
L31 -1.44
L33 1.60 
L34 1.96 
L35 0.82 
L36 2.18 
L32 6.09 
L37 4.50 
L38 4.45 
L39 7.40 
L41 7.89 
L42 6.19 
L43 7.14 
L40 -1.36
L44 -0.56
L45 7.33 
L46 14.77
L47 8.10 
L48 11.11
L49 5.18 
L50 -4.22
L51 -4.12
L52 -4.02
L53 -3.60
L54 -3.23
L55 -4.73
L56 -4.10
L57 -5.00
L58 -3.87
L59 -2.34
L60 -3.91
L61 -4.98
L62 -4.77
L63 -5.08
L64 -5.39
L65 -5.24
L66 -5.57
L67 -5.85
L68 -1.93
L69 -2.61
L70 -2.47
L71 -1.99
L72 0.31 
L73 2.87 
L74 -0.71
L75 -1.27
L76 -1.08
L77 -1.79
L78 2.36 
L79 -2.47
L80 -2.56
L81 -2.68
L82 -0.88
L83 -1.02
L84 -1.80
L85 9.87 
L86 19.04
L87 20.85

