#ID T_min
L1 18.69
L2 20.34
L3 17.52
L4 17.41
L5 11.56
L6 11.53
L7 10.97
L8 10.68
L9 9.84
L10 9.14
L11 9.65
L12 8.76
L13 7.71
L14 7.38
L15 6.93
L16 7.04
L17 6.06
L18 5.90
L19 5.40
L20 5.53
L21 5.02
L22 4.96
L23 4.56
L24 5.57
L25 5.60
L26 5.13
L27 5.90
L28 5.77
L29 5.95
L30 6.85
L31 6.97
L32 7.44
L33 6.96
L34 5.92
L35 5.53
L36 5.67
L37 5.49
L38 5.94
L39 7.96
L40 9.28
L41 9.72
L42 8.45
L43 11.18
L44 6.57 
L45 5.44 
L46 5.62 
L47 5.11 
L48 5.42 
L49 6.32 
L50 6.16 
L51 6.29 
L52 6.41 
L53 9.97 
L54 9.56 
L55 9.35 
L56 10.47
L57 18.30
L58 15.59
L59 15.40
L60 13.77
L61 14.51
L62 13.84
L63 13.91
L64 15.72
L65 8.59 
L66 9.18 
L67 20.43
L68 22.73
L69 11.80
L70 7.47 
L71 15.94
L72 18.64
L73 21.47
L74 16.72
L75 6.71 
L76 5.93 
L77 6.44 
L78 8.44 
L79 6.32 
L80 6.41 

