#time TapeLeft100 TapeRight100 SprayLeft100 SprayRight100 SprayCentre100 TapeCentre100 SiTopLeft100 SiTopRight100 SiMiddleLeft100 SiMiddleRight100 SiBottomLeft100 SiBottomRight100 TapeLeft095 TapeRight095 SprayLeft095 SprayRight095 SprayCentre095 TapeCentre095 SiTopLeft095 SiTopRight095 SiMiddleLeft095 SiMiddleRight095 SiBottomLeft095 SiBottomRight095 
1121 14.89 14.93 14.7 14.72 14.67 14.81 14.87 14.95 14.83 14.9 14.87 14.98 14.61 14.66 14.41 14.43 14.38 14.53 14.59 14.67 14.55 14.62 14.59 14.71 
1141 0.51 0.57 -0.35 -0.28 -0.36 0.18 0.34 0.73 0.22 0.53 0.36 0.78 -0.62 -0.56 -1.54 -1.46 -1.54 -0.98 -0.8 -0.39 -0.93 -0.59 -0.77 -0.33 
1203 -7.22 -7.2 -8.89 -8.63 -8.74 -7.79 -7.63 -7.02 -7.84 -7.25 -7.65 -6.93 -8.91 -8.89 -10.73 -10.44 -10.56 -9.54 -9.36 -8.7 -9.59 -8.96 -9.38 -8.6 
1228 -9.69 -9.7 -11.62 -11.39 -11.48 -10.34 -10.18 -9.51 -10.47 -9.83 -10.22 -9.42 -11.62 -11.63 -13.71 -13.46 -13.56 -12.32 -12.14 -11.42 -12.46 -11.76 -12.19 -11.33 
1250 -11.73 -11.73 -13.85 -13.6 -13.67 -12.42 -12.33 -11.58 -12.57 -11.92 -12.33 -11.42 -13.88 -13.88 -16.19 -15.91 -15.99 -14.62 -14.53 -13.72 -14.79 -14.08 -14.53 -13.55 
1308 -12.28 -12.33 -14.54 -14.37 -14.37 -13.1 -13.01 -12.16 -13.28 -12.54 -13.03 -12.06 -14.52 -14.57 -16.98 -16.79 -16.79 -15.41 -15.31 -14.39 -15.61 -14.8 -15.34 -14.28 
1324 -13.27 -13.58 -15.69 -15.58 -15.5 -14.19 -14.22 -13.43 -14.59 -13.81 -14.34 -13.37 -15.62 -15.96 -18.26 -18.14 -18.06 -16.62 -16.66 -15.8 -17.06 -16.21 -16.79 -15.73 
1340 -13.32 -13.45 -15.56 -15.47 -15.41 -14.15 -14.07 -13.26 -14.4 -13.65 -14.17 -13.21 -15.7 -15.85 -18.15 -18.05 -17.99 -16.61 -16.53 -15.64 -16.89 -16.06 -16.64 -15.58 
1350 -12.92 -13.09 -15.34 -15.26 -15.21 -13.79 -13.77 -12.96 -14.14 -13.36 -13.91 -12.88 -15.29 -15.47 -17.94 -17.84 -17.79 -16.24 -16.22 -15.33 -16.62 -15.77 -16.37 -15.24 
1358 -13.49 -13.43 -15.97 -15.84 -15.76 -14.33 -14.29 -13.44 -14.65 -13.86 -14.39 -13.35 -15.92 -15.87 -18.64 -18.5 -18.41 -16.84 -16.8 -15.88 -17.19 -16.33 -16.91 -15.77 
1409 -14.16 -14.39 -16.65 -16.54 -16.46 -15.1 -15.02 -14.19 -15.44 -14.6 -15.17 -14.1 -16.69 -16.93 -19.41 -19.3 -19.21 -17.72 -17.62 -16.72 -18.09 -17.17 -17.8 -16.62 
1418 -13.76 -13.69 -16.25 -16.13 -16.03 -14.51 -14.62 -13.73 -15.03 -14.18 -14.73 -13.62 -16.27 -16.19 -19.0 -18.86 -18.76 -17.08 -17.2 -16.23 -17.65 -16.72 -17.33 -16.12 
