 TIME                     Farbe_links [C]     Farbe_rechts [C]    Tape_links [C]      Tape_rechts [C]     
=========================================================================================================
 2018-08-09_13:54:42      25.6592             25.7907             25.8665             25.8524             
 2018-08-09_13:54:53      9.9e+37             25.7942             25.8691             25.851              
 2018-08-09_13:55:04      9.9e+37             25.7956             25.8727             25.8561             
 2018-08-09_13:55:14      9.9e+37             25.7984             25.873              25.8573             
 2018-08-09_13:55:25      9.9e+37             25.8017             25.876              25.8615             
 2018-08-09_13:55:36      9.9e+37             25.8018             25.8787             25.8602             
 2018-08-09_13:55:46      9.9e+37             25.8048             25.8816             25.8625             
 2018-08-09_13:55:57      9.9e+37             25.8065             25.8833             25.8651             
 2018-08-09_13:56:08      9.9e+37             25.8077             25.8836             25.8683             
 2018-08-09_13:56:18      9.9e+37             25.8111             25.8874             25.8695             
 2018-08-09_13:56:29      9.9e+37             25.8105             25.8887             25.8723             
 2018-08-09_13:56:40      9.9e+37             25.8151             25.8893             25.8745             
 2018-08-09_13:56:50      9.9e+37             25.8151             25.8945             25.8764             
 2018-08-09_13:57:01      9.9e+37             25.8166             25.8942             25.8757             
 2018-08-09_13:57:11      9.9e+37             25.8191             25.8957             25.8778             
 2018-08-09_13:57:22      9.9e+37             25.8195             25.9004             25.8801             
 2018-08-09_13:57:33      9.9e+37             25.8236             25.9009             25.882              
 2018-08-09_13:57:43      9.9e+37             25.8256             25.8996             25.8824             
 2018-08-09_13:57:54      9.9e+37             25.8276             25.9026             25.8872             
 2018-08-09_13:58:05      9.9e+37             25.8291             25.9062             25.8893             
 2018-08-09_13:58:15      9.9e+37             25.8309             25.9092             25.8916             
 2018-08-09_13:58:26      9.9e+37             25.8307             25.9096             25.8911             
 2018-08-09_13:58:37      9.9e+37             25.8344             25.9112             25.8951             
 2018-08-09_13:58:47      9.9e+37             25.8374             25.9141             25.8934             
 2018-08-09_13:58:58      9.9e+37             25.8384             25.9149             25.8958             
 2018-08-09_13:59:09      9.9e+37             25.8404             25.9167             25.8997             
 2018-08-09_13:59:19      9.9e+37             25.8407             25.919              25.9008             
 2018-08-09_13:59:30      9.9e+37             25.8439             25.9229             25.9039             
 2018-08-09_13:59:41      9.9e+37             25.845              25.9243             25.9056             
 2018-08-09_13:59:51      9.9e+37             25.8481             25.926              25.908              
 2018-08-09_14:00:02      9.9e+37             25.8491             25.9258             25.9088             
 2018-08-09_14:00:13      9.9e+37             25.8516             25.9282             25.9092             
 2018-08-09_14:00:23      9.9e+37             25.8542             25.9299             25.9141             
 2018-08-09_14:00:34      9.9e+37             25.8534             25.9324             25.9132             
 2018-08-09_14:00:45      9.9e+37             25.8571             25.9369             25.9145             
