#Time T_amb V_left V_right I_left I_right humidity T_chill PT100_Paint_left PT100_Paint_right PT100_Tape_left PT100_Tape_right
#time Celsius Volt Volt Ampere Ampere relative Celsius Celsius Celsius Celsius Celsius
1606 22.2 0.00 0.00 0.00 0.00 12.0 16.0 17.7025 17.6475 17.8067 17.7279
1613 22.0 1.65 1.63 0.50 0.50 11.0 16.0 7.7812 7.8154 7.8822 7.8544
1621 21.9 3.19 3.16 1.00 1.00 10.0 16.0 -0.0900 -0.0061 0.0127 0.0007
1629 21.8 4.70 4.66 1.51 1.51 10.0 16.0 -6.5479 -6.4243 -6.4529 -6.4434
1636 21.8 6.09 6.04 2.00 2.00 10.0 16.0 -11.4716 -11.3525 -11.3747 -11.3800
1642 21.9 7.51 7.42 2.50 2.50 9.00 16.0 -15.3976 -15.2142 -15.2889 -15.2657
1648 22.0 8.91 8.80 3.00 3.00 9.0 16.0 -18.1427 -17.9459 -18.0374 -17.9741
1652 22.1 10.33 10.20 3.50 3.50 9.0 16.0 -20.0420 -18.8349 -19.9394 -19.8692
1655 22.3 11.82 11.65 4.00 4.00 9.0 16.0 -21.1796 -21.0354 -21.0640 -21.0533
1702 22.7 13.37 13.16 4.50 4.50 9.0 16.0 -21.0972 -21.9747 -20.9534 -20.9835
1721 22.1 13.00 12.80 4.49 4.50 8.0 10.0 -23.6732 -23.6065 -23.5237 -23.6134
1732 21.9 12.09 11.89 4.20 4.20 8.0 10.0 -23.7373 -23.6469 -23.6015 -23.6599
