#Time T_Paint_left T_Paint_right T_Tape_left T_Tape_right P_Paint_left P_Paint_right P_Tape_left P_Tape_right
#time Celsius Celsius Celsius Celsius Watt_per_sq_metre Watt_per_sq_metre Watt_per_sq_metre Watt_per_sq_metre
1606 18.65 18.60 18.72 18.69 108.26 108.17 108.40 108.34
1613 8.99 8.99 9.25 9.39 91.66 90.65 91.11 91.33
1621 1.20 1.24 1.60 1.91 77.83 77.91 78.50 78.95
1629 -5.16 -5.12 -4.62 -4.16 68.46 68.55 69.24 69.98
1636 -9.83 -9.82 -9.19 -8.83 61.82 61.86 62.74 63.25
1642 -13.67 -13.93 -12.92 -12.54 56.85 56.55 57.82 58.32
1648 -16.62 -17.83 -15.55 -15.55 53.03 51.56 54.39 54.48
1652 -18.59 -20.49 -17.56 -17.90 50.83 48.60 52.04 51.59
1655 -19.77 -21.93 -18.56 -19.30 49.42 46.97 50.87 49.98
1702 -20.10 -22.42 -18.72 -20.01 48.98 46.36 50.59 49.11
1721 -23.95 -26.04 -22.32 -23.67 44.83 42.61 46.62 45.37
1732 -24.54 -26.30 -22.84 -24.08 44.08 42.23 45.91 44.56
