#time TL TR PL PR P_TL P_TR P_PL P_PR
1542 11.54 11.10 11.17 10.94 103.23 102.22 102.37 101.85
1556 0.79 0.13 0.08 -0.22 80.53 79.27 79.17 78.60
1607 -7.13 -8.11 -8.24 -8.63 66.23 64.58 64.36 63.73
1619 -13.55 -14.66 -14.93 -15.43 56.01 54.37 53.98 53.26
1633 -16.48 -17.69 -18.04 -18.59 51.77 50.07 49.59 48.83
1648 -18.70 -19.99 -20.52 -21.00 48.68 46.96 46.28 45.66
1657 -20.99 -22.23 -22.93 -23.35 45.67 44.09 43.20 42.68
1713 -22.96 -24.36 -24.99 -25.46 43.17 41.45 40.69 40.15
1724 -24.57 -25.97 -26.74 -27.27 41.19 39.55 38.67 38.06
1732 -25.57 -27.23 -27.94 -28.58 40.01 38.11 37.31 36.60
