#Time TL TR PL PR P_TL P_TR P_PL P_PR
1542 12.85 12.46 12.52 12.32 106.26 105.35 105.48 105.02
1556 3.36 2.80 2.75 2.50 85.61 84.47 84.38 83.87
1607 -3.46 -4.29 -4.40 -4.72 72.60 71.12 70.92 70.36
1619 -8.89 -9.80 -10.02 -10.43 63.30 61.83 61.47 60.82
1633 -11.35 -12.33 -12.62 -13.07 59.38 57.85 57.41 56.73
1648 -13.21 -14.25 -14.67 -15.05 56.52 54.97 54.35 53.80
1657 -15.06 -16.05 -16.61 -16.94 53.78 52.36 51.56 51.10
1713 -16.65 -17.76 -18.26 -18.62 51.50 49.95 49.27 48.79
1724 -17.93 -19.01 -19.61 -20.02 49.72 48.25 47.45 46.91
1732 -18.73 -20.01 -20.56 -21.05 46.20 45.57 48.63 46.92
